t=2023-06-20T22:19:18+0000 lvl=info msg="no configuration paths supplied"
t=2023-06-20T22:19:18+0000 lvl=info msg="using configuration at default config path" path=/home/flick/.config/ngrok/ngrok.yml
t=2023-06-20T22:19:18+0000 lvl=info msg="open config file" path=/home/flick/.config/ngrok/ngrok.yml err=nil
t=2023-06-20T22:19:18+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2023-06-20T22:19:18+0000 lvl=info msg="client session established" obj=tunnels.session obj=csess id=33de03d32fa9
t=2023-06-20T22:19:18+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2023-06-20T22:19:19+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://dcde-185-15-38-11.ngrok-free.app
t=2023-06-20T22:20:22+0000 lvl=info msg="join connections" obj=join id=561ca4870369 l=127.0.0.1:8080 r=185.15.38.11:6351
t=2023-06-20T22:20:22+0000 lvl=info msg="join connections" obj=join id=6aa2b8592861 l=127.0.0.1:8080 r=185.15.38.11:6351
t=2023-06-20T22:20:53+0000 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=3f7d707ad406 clientid=6f571be4f955f40b6a525ab3b4c10afa
t=2023-06-20T22:20:53+0000 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=33de03d32fa9 err="session closed"
t=2023-06-20T22:20:54+0000 lvl=info msg="client session established" obj=tunnels.session obj=csess id=33de03d32fa9
t=2023-06-20T22:20:54+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2023-06-20T22:22:07+0000 lvl=info msg="join connections" obj=join id=d3a1a68aa25f l=127.0.0.1:8080 r=140.82.115.37:27795
t=2023-06-20T22:23:00+0000 lvl=info msg="join connections" obj=join id=ebdf73f219fd l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=e147f696392a l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=191f8bdcbaf0 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=5439cb380b08 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=782209d9226a l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=52dfd4e82786 l=127.0.0.1:8080 r=185.15.38.11:11504
